entity_uuid,competitor_uuid,created_at,updated_at
223d3b5a-e65e-fc89-d6c6-f602ef42d7b9,0f63f903-5048-4ee8-35e4-d47fef8fee2d,2016-04-14 17:38:21 +0000,2016-04-14 17:38:21 +0000
223d3b5a-e65e-fc89-d6c6-f602ef42d7b9,de5a25ce-a16e-91d2-e629-1e98b1cd00e3,2016-04-14 17:38:06 +0000,2016-04-14 17:38:06 +0000
223d3b5a-e65e-fc89-d6c6-f602ef42d7b9,de5a25ce-a16e-91d2-e629-1e98b1cd00e3,2016-04-14 17:38:06 +0000,2016-04-14 17:38:06 +0000
223d3b5a-e65e-fc89-d6c6-f602ef42d7b9,de5a25ce-a16e-91d2-e629-1e98b1cd00e3,2016-04-14 17:38:06 +0000,2016-04-14 17:38:06 +0000
223d3b5a-e65e-fc89-d6c6-f602ef42d7b9,de5a25ce-a16e-91d2-e629-1e98b1cd00e3,2016-04-14 17:38:06 +0000,2016-04-14 17:38:06 +0000
223d3b5a-e65e-fc89-d6c6-f602ef42d7b9,de5a25ce-a16e-91d2-e629-1e98b1cd00e3,2016-04-14 17:38:06 +0000,2016-04-14 17:38:06 +0000
223d3b5a-e65e-fc89-d6c6-f602ef42d7b9,de5a25ce-a16e-91d2-e629-1e98b1cd00e3,2016-04-14 17:38:06 +0000,2016-04-14 17:38:06 +0000
223d3b5a-e65e-fc89-d6c6-f602ef42d7b9,e7eb0e8d-f85a-813d-7646-3167f606d028,2016-04-14 17:38:03 +0000,2016-04-14 17:38:03 +0000
223d3b5a-e65e-fc89-d6c6-f602ef42d7b9,e7eb0e8d-f85a-813d-7646-3167f606d028,2016-04-14 17:38:03 +0000,2016-04-14 17:38:03 +0000
223d3b5a-e65e-fc89-d6c6-f602ef42d7b9,e7eb0e8d-f85a-813d-7646-3167f606d028,2016-04-14 17:38:03 +0000,2016-04-14 17:38:03 +0000
223d3b5a-e65e-fc89-d6c6-f602ef42d7b9,e7eb0e8d-f85a-813d-7646-3167f606d028,2016-04-14 17:38:03 +0000,2016-04-14 17:38:03 +0000
223d3b5a-e65e-fc89-d6c6-f602ef42d7b9,e7eb0e8d-f85a-813d-7646-3167f606d028,2016-04-14 17:38:03 +0000,2016-04-14 17:38:03 +0000
223d3b5a-e65e-fc89-d6c6-f602ef42d7b9,e7eb0e8d-f85a-813d-7646-3167f606d028,2016-04-14 17:38:03 +0000,2016-04-14 17:38:03 +0000
8cc4ea72-f66e-f9da-0fd7-14bba7754ba4,21fadd92-e006-eb11-6003-d9abd53c1076,2016-04-14 17:36:38 +0000,2016-04-14 17:36:38 +0000
223d3b5a-e65e-fc89-d6c6-f602ef42d7b9,e20d934e-de48-9de9-bfc1-b1b2dcc6fcc4,2016-04-14 17:36:12 +0000,2016-04-14 17:36:12 +0000
223d3b5a-e65e-fc89-d6c6-f602ef42d7b9,e20d934e-de48-9de9-bfc1-b1b2dcc6fcc4,2016-04-14 17:36:12 +0000,2016-04-14 17:36:12 +0000
223d3b5a-e65e-fc89-d6c6-f602ef42d7b9,e20d934e-de48-9de9-bfc1-b1b2dcc6fcc4,2016-04-14 17:36:12 +0000,2016-04-14 17:36:12 +0000
223d3b5a-e65e-fc89-d6c6-f602ef42d7b9,e20d934e-de48-9de9-bfc1-b1b2dcc6fcc4,2016-04-14 17:36:12 +0000,2016-04-14 17:36:12 +0000
223d3b5a-e65e-fc89-d6c6-f602ef42d7b9,e20d934e-de48-9de9-bfc1-b1b2dcc6fcc4,2016-04-14 17:36:12 +0000,2016-04-14 17:36:12 +0000
223d3b5a-e65e-fc89-d6c6-f602ef42d7b9,e20d934e-de48-9de9-bfc1-b1b2dcc6fcc4,2016-04-14 17:36:12 +0000,2016-04-14 17:36:12 +0000
223d3b5a-e65e-fc89-d6c6-f602ef42d7b9,e7ef4dca-9300-233c-18eb-c7d433e3dd41,2016-04-14 17:36:03 +0000,2016-04-14 17:36:03 +0000
223d3b5a-e65e-fc89-d6c6-f602ef42d7b9,e7ef4dca-9300-233c-18eb-c7d433e3dd41,2016-04-14 17:36:03 +0000,2016-04-14 17:36:03 +0000
223d3b5a-e65e-fc89-d6c6-f602ef42d7b9,e7ef4dca-9300-233c-18eb-c7d433e3dd41,2016-04-14 17:36:03 +0000,2016-04-14 17:36:03 +0000
223d3b5a-e65e-fc89-d6c6-f602ef42d7b9,e7ef4dca-9300-233c-18eb-c7d433e3dd41,2016-04-14 17:36:03 +0000,2016-04-14 17:36:03 +0000
223d3b5a-e65e-fc89-d6c6-f602ef42d7b9,e7ef4dca-9300-233c-18eb-c7d433e3dd41,2016-04-14 17:36:03 +0000,2016-04-14 17:36:03 +0000
223d3b5a-e65e-fc89-d6c6-f602ef42d7b9,e7ef4dca-9300-233c-18eb-c7d433e3dd41,2016-04-14 17:36:03 +0000,2016-04-14 17:36:03 +0000
528f6ffe-c8e3-27e6-3877-83d5765e9e6b,abb04901-02ba-1ef8-e30c-3fd145bbb3e7,2016-04-14 16:54:54 +0000,2016-04-14 16:54:54 +0000
657d14da-1248-9e6d-c328-517ad651f227,e0abf17b-b425-d3ab-4b2a-831420b090ee,2016-04-14 16:24:06 +0000,2016-04-14 16:24:06 +0000
d7cdef3e-05a1-6677-8540-e76c0e344d36,54167e6f-4ccf-a63a-e833-7c0bc8ffe864,2016-04-14 13:05:51 +0000,2016-04-14 13:05:51 +0000
efd8dfab-f2ff-7829-a312-62abee8defb2,e217f4ac-0b45-e21b-207f-c0f6d4a9b8a3,2016-04-14 12:35:13 +0000,2016-04-14 12:35:13 +0000
e113bfc8-c8e6-df95-487e-b407ad1cc9fb,95c85173-18b0-a193-ee40-d15605756b7a,2016-04-14 10:54:12 +0000,2016-04-14 10:54:12 +0000
70080a75-494b-20fc-2801-f7465b6deeb8,61db3560-4983-c6ce-6eb9-31aaf814467b,2016-04-14 10:25:49 +0000,2016-04-14 10:25:49 +0000
b7664c8c-009f-478f-545e-601ff9d683b7,912c7020-d3c8-c695-0049-a4ab6396d068,2016-04-14 10:22:55 +0000,2016-04-14 10:22:55 +0000
44f436dc-02bf-db00-83da-a4b3257eecd6,dde60206-9786-7f8d-aa70-3aaf6395f9da,2016-04-14 07:14:37 +0000,2016-04-14 07:14:37 +0000
779e0684-43c8-3348-f146-81fac6f01be4,a9042057-9dda-5582-a6dc-19550c40c07e,2016-04-14 06:02:49 +0000,2016-04-14 06:02:49 +0000
779e0684-43c8-3348-f146-81fac6f01be4,a9042057-9dda-5582-a6dc-19550c40c07e,2016-04-14 06:02:49 +0000,2016-04-14 06:02:49 +0000
779e0684-43c8-3348-f146-81fac6f01be4,a1e665e1-6f97-28e9-5e76-3d631ea60fba,2016-04-14 06:02:26 +0000,2016-04-14 06:02:26 +0000
779e0684-43c8-3348-f146-81fac6f01be4,a1e665e1-6f97-28e9-5e76-3d631ea60fba,2016-04-14 06:02:26 +0000,2016-04-14 06:02:26 +0000
763c075f-9940-b1b8-0012-f03fba274672,7063d087-96b8-2cc1-ee88-c221288acc2a,2016-04-14 05:59:04 +0000,2016-04-14 05:59:04 +0000
00b330f7-9343-0ba2-928d-b3329fd0881c,2b47a438-3777-5942-3321-16ec63e26e5c,2016-04-14 05:39:37 +0000,2016-04-14 05:39:37 +0000
31feab91-16b1-f9d9-b57a-4c73c8514cbc,c8f21e3b-8995-8269-80ba-bdf34fcdba4f,2016-04-14 02:23:53 +0000,2016-04-14 02:23:53 +0000
1e4f199c-363b-451b-a164-f94571075ee5,be39d509-8699-59f5-11ab-7de61d99e0a6,2016-04-13 20:36:31 +0000,2016-04-13 20:36:31 +0000
be39d509-8699-59f5-11ab-7de61d99e0a6,1e4f199c-363b-451b-a164-f94571075ee5,2016-04-13 20:36:02 +0000,2016-04-13 20:36:02 +0000
b8eeb349-49f3-9ece-fae7-13b1cd193e02,be39d509-8699-59f5-11ab-7de61d99e0a6,2016-04-13 20:35:42 +0000,2016-04-13 20:35:42 +0000
57ea1abc-7086-364d-136b-bd4e24ac94fd,b6a09bde-184a-a6ed-7d3d-150d5ad95d2f,2016-04-13 20:28:31 +0000,2016-04-13 20:28:31 +0000
15cd6962-f091-cbe0-ff1a-7718c885d54f,cbd2c60d-493d-7d0b-df35-c408411d79bf,2016-04-13 19:54:49 +0000,2016-04-13 19:54:49 +0000
4a3ff2b0-6674-62a5-38b0-3f2446ee0bde,1c0b41ef-555c-2274-7857-5a90a3cc9d9b,2016-02-28 19:48:43 +0000,2016-02-28 19:48:43 +0000
1f0b0cd8-2a41-5cd2-a5af-953ce1b4e413,4ea0b7d8-4e73-3e29-4fb7-b84ed5a7719a,2015-12-16 15:00:59 +0000,2015-12-16 15:00:59 +0000
8cc4ea72-f66e-f9da-0fd7-14bba7754ba4,7f5d8bcd-5e3d-97ec-281d-8e176c7c8330,2015-06-24 16:54:00 +0000,2015-06-24 16:54:00 +0000
8cc4ea72-f66e-f9da-0fd7-14bba7754ba4,2e294d32-67cb-0976-93ef-52bf19ca011c,2015-06-24 16:50:52 +0000,2015-06-24 16:50:52 +0000
dd7d6f15-a818-954a-3f67-c1e292e6f97b,58827e06-c456-502c-4a6c-743cc2a33aff,2015-06-09 22:56:22 +0000,2015-06-09 22:56:22 +0000
dd7d6f15-a818-954a-3f67-c1e292e6f97b,58827e06-c456-502c-4a6c-743cc2a33aff,2015-06-09 22:56:22 +0000,2015-06-09 22:56:22 +0000
1f0b0cd8-2a41-5cd2-a5af-953ce1b4e413,6da52877-2e82-68d4-3d35-b789b3f663d7,2015-05-05 23:32:30 +0000,2015-05-05 23:32:30 +0000
1f0b0cd8-2a41-5cd2-a5af-953ce1b4e413,19228201-960f-19ae-422e-a94cd570c370,2015-05-05 23:32:02 +0000,2015-05-05 23:32:03 +0000
1f0b0cd8-2a41-5cd2-a5af-953ce1b4e413,7d1b3f30-f43b-7ac5-89bb-9a93b0a69def,2015-05-05 23:31:02 +0000,2015-05-05 23:31:02 +0000
1f0b0cd8-2a41-5cd2-a5af-953ce1b4e413,e9440b6c-93fe-863c-0102-929655fa3d15,2015-05-05 23:30:43 +0000,2015-05-05 23:30:44 +0000
57ea1abc-7086-364d-136b-bd4e24ac94fd,0886742a-e1f4-4b13-beaf-c46bcf167091,2014-04-20 11:06:08 +0000,2014-04-20 11:06:08 +0000
57ea1abc-7086-364d-136b-bd4e24ac94fd,0f837dfe-9ccd-29fc-8bc2-6fe96b6ff2f6,2014-04-20 11:06:08 +0000,2014-04-20 11:06:08 +0000
57ea1abc-7086-364d-136b-bd4e24ac94fd,7ed01dc7-8aed-8795-ae49-13cec8f0544c,2014-04-20 11:06:07 +0000,2014-04-20 11:06:07 +0000
779e0684-43c8-3348-f146-81fac6f01be4,e05bc4ae-6d0c-b5e0-4082-6a378a7d84fd,2014-04-20 11:03:02 +0000,2014-04-20 11:03:02 +0000
779e0684-43c8-3348-f146-81fac6f01be4,e05bc4ae-6d0c-b5e0-4082-6a378a7d84fd,2014-04-20 11:03:02 +0000,2014-04-20 11:03:02 +0000
6827f18b-09a0-58e4-ab12-0c26b8d2bda5,6a8ab5d4-8b49-335f-69b5-a946edfd2833,2014-04-20 10:59:07 +0000,2014-04-20 10:59:07 +0000
6827f18b-09a0-58e4-ab12-0c26b8d2bda5,6a8ab5d4-8b49-335f-69b5-a946edfd2833,2014-04-20 10:59:07 +0000,2014-04-20 10:59:07 +0000
6827f18b-09a0-58e4-ab12-0c26b8d2bda5,e000d3af-3229-2066-339f-460687af928e,2014-04-20 10:59:04 +0000,2014-04-20 10:59:04 +0000
6827f18b-09a0-58e4-ab12-0c26b8d2bda5,e000d3af-3229-2066-339f-460687af928e,2014-04-20 10:59:04 +0000,2014-04-20 10:59:04 +0000
1e4f199c-363b-451b-a164-f94571075ee5,d0eafbbb-2c42-37f4-8538-ac4ed7400328,2014-04-20 10:57:40 +0000,2014-04-20 10:57:40 +0000
6827f18b-09a0-58e4-ab12-0c26b8d2bda5,1b5c17f4-8ad3-bf5d-2e1f-d73e5ae2063a,2014-04-20 10:54:21 +0000,2014-04-20 10:54:21 +0000
6827f18b-09a0-58e4-ab12-0c26b8d2bda5,1b5c17f4-8ad3-bf5d-2e1f-d73e5ae2063a,2014-04-20 10:54:21 +0000,2014-04-20 10:54:21 +0000
6827f18b-09a0-58e4-ab12-0c26b8d2bda5,ad07c844-5b53-f117-5f2f-1d97479b280f,2014-04-20 10:54:19 +0000,2014-04-20 10:54:19 +0000
6827f18b-09a0-58e4-ab12-0c26b8d2bda5,ad07c844-5b53-f117-5f2f-1d97479b280f,2014-04-20 10:54:19 +0000,2014-04-20 10:54:19 +0000
6827f18b-09a0-58e4-ab12-0c26b8d2bda5,7abbe1e6-5363-222c-f614-9820d2a6a5e3,2014-04-20 10:47:01 +0000,2014-04-20 10:47:01 +0000
6827f18b-09a0-58e4-ab12-0c26b8d2bda5,7abbe1e6-5363-222c-f614-9820d2a6a5e3,2014-04-20 10:47:01 +0000,2014-04-20 10:47:01 +0000
6827f18b-09a0-58e4-ab12-0c26b8d2bda5,7066da9d-c52d-a95a-c34f-937f7667efc9,2014-04-20 10:47:00 +0000,2014-04-20 10:47:00 +0000
6827f18b-09a0-58e4-ab12-0c26b8d2bda5,7066da9d-c52d-a95a-c34f-937f7667efc9,2014-04-20 10:47:00 +0000,2014-04-20 10:47:00 +0000
6827f18b-09a0-58e4-ab12-0c26b8d2bda5,525a383c-d974-f7b3-cf1c-e26204292173,2014-04-20 10:46:48 +0000,2014-04-20 10:46:48 +0000
6827f18b-09a0-58e4-ab12-0c26b8d2bda5,525a383c-d974-f7b3-cf1c-e26204292173,2014-04-20 10:46:48 +0000,2014-04-20 10:46:48 +0000
6827f18b-09a0-58e4-ab12-0c26b8d2bda5,5da34aa2-4f1b-4203-f5be-d7e9b3898a72,2014-04-20 10:46:33 +0000,2014-04-20 10:46:33 +0000
6827f18b-09a0-58e4-ab12-0c26b8d2bda5,5da34aa2-4f1b-4203-f5be-d7e9b3898a72,2014-04-20 10:46:33 +0000,2014-04-20 10:46:33 +0000
b8eeb349-49f3-9ece-fae7-13b1cd193e02,fc5fbe7a-562d-d577-b05e-46797caa134c,2014-04-20 10:46:09 +0000,2014-04-20 10:46:09 +0000
b8eeb349-49f3-9ece-fae7-13b1cd193e02,ee17319e-f5ee-9c9a-6500-edf82b4fbf05,2014-04-20 10:46:08 +0000,2014-04-20 10:46:08 +0000
b8eeb349-49f3-9ece-fae7-13b1cd193e02,1e4f199c-363b-451b-a164-f94571075ee5,2014-04-20 10:46:08 +0000,2014-04-20 10:46:08 +0000
6827f18b-09a0-58e4-ab12-0c26b8d2bda5,ebc5db43-f6c0-8fb1-bb49-ddded56ba46b,2014-04-20 10:46:05 +0000,2014-04-20 10:46:05 +0000
6827f18b-09a0-58e4-ab12-0c26b8d2bda5,ebc5db43-f6c0-8fb1-bb49-ddded56ba46b,2014-04-20 10:46:05 +0000,2014-04-20 10:46:05 +0000
