funding_round_uuid,investor_uuid,partner_uuid
1637e281-e23d-cca8-0552-1c5588360bf2,b51ff078-c9d9-9f51-681d-4f9ac888e070,79982675-e1c8-1029-b989-28d95f3802c7
1637e281-e23d-cca8-0552-1c5588360bf2,4e0cf914-3a8e-c3c2-4ef8-ee6f5e8fdb47,19513fae-7d4a-7a29-783a-9fe7c6f7a808
1637e281-e23d-cca8-0552-1c5588360bf2,ac53f2c3-4fd6-45c3-3a21-966c4d950f8f,38879422-4c52-e748-6118-b0cafddd4cb7
1637e281-e23d-cca8-0552-1c5588360bf2,8ca0a6a5-15ba-2e62-3d45-eac4cb4d41de,1fa3d738-0590-39b4-39f5-cd0b04c23e61
62f440bd-6ec1-9b9b-8451-83c2f0703077,49a2ea46-f776-b200-18d7-4f7690e8dc05,e2cfbda4-a48f-2427-8607-2fff986a7166
a6dd0dd6-b0bb-1be9-adf7-50abc6317d92,6a7066ef-82d7-2adc-5dc0-31776aa12556,53f043f3-2d91-f7ef-36eb-1697138e409f
ff4435b0-a127-38e0-bb1e-d326fc37abb9,fd0c6051-176b-b3a6-2124-b071945d3b02,a47fd6a3-8532-5a82-93b5-08bf6d38effa
ff4435b0-a127-38e0-bb1e-d326fc37abb9,9dd7066b-069a-9dd9-c211-06db31253bd0,b494852a-3c56-cb5e-743c-e367c6ff614c
6d0881ed-3aff-b85f-50d1-1bf530004868,8ca77695-b2ff-b12e-9e8f-3579fcf70ca6,7f3ddaaf-657d-d976-9efc-3602c4f108ef
6d0881ed-3aff-b85f-50d1-1bf530004868,b08efc27-da40-505a-6f9d-c9e14247bf36,1b92100a-d9b0-0a41-e806-fb9b17afd946
b02ec57b-c87a-6a60-5475-f2536e6ca9cc,4a97f042-2d36-c628-178a-afbb0945a362,78d8ba32-3e95-4d30-7816-1c805cb8f4cd
2943f4f0-bf23-f7f4-e3f0-c8c76d08a61a,d8d42916-895c-5414-d259-d36b28e94f51,2567df70-4fbe-418f-8b76-21cf97b1a3f7
4767016c-d943-00ac-624a-7c7a53cd2a8c,0eb44ea3-d9aa-607f-e41f-d4c3e554cd2e,1648c02f-6667-2439-a513-b76e8cc9d7b6
4767016c-d943-00ac-624a-7c7a53cd2a8c,989c5834-ecda-9c9e-50f8-33b69e253d47,c10fbf7b-0096-cd97-8520-d3b4977c52dc
4767016c-d943-00ac-624a-7c7a53cd2a8c,5a79290b-01b0-156d-8a54-214a9706b818,6457f6b3-18f7-f2b0-1159-96fae4ae5e8b
0358cc19-f00e-9849-d3fb-8c4687bcd4e8,b53c28d2-9653-95b6-e503-5b207dcfd45d,23a495e7-08e7-baa1-f1ee-3c6a74b410de
0358cc19-f00e-9849-d3fb-8c4687bcd4e8,6b43c7ec-5898-0866-af46-494775acb00f,c2cf56c6-da32-a618-14b0-09965e2bbfcc
23bcbf18-5663-d0fc-12c7-f247c72e3646,87e297f8-53fd-a340-cbfc-6f34d3c62a86,70f9ebd0-a8c2-d299-382f-c46f583e21c9
23bcbf18-5663-d0fc-12c7-f247c72e3646,44974c34-7435-5e3d-1f5f-70ee942d485a,5f7385b5-6ef0-d984-86f7-f4a28808fb2f
9623b3b2-9e62-7366-59e3-ed5943fbd69f,2d0a5bf0-e53e-9a07-2243-9bcd561421ec,7278f527-d4b9-0c73-98bc-f63f2dbcac7b
9623b3b2-9e62-7366-59e3-ed5943fbd69f,fe2d1e8b-f607-3c9f-fad7-98fb8412f77e,abb6448f-215e-d7ef-b528-7443b207f001
9623b3b2-9e62-7366-59e3-ed5943fbd69f,db9a455c-d51e-350a-d402-87bd0b1d46a5,01363d8d-13f6-e171-7e04-ce809604f7b3
9623b3b2-9e62-7366-59e3-ed5943fbd69f,e2006571-6b7a-e477-002a-f7014f48a7e3,478e7efd-bec4-b9f5-304b-cffedc1fc012
bbd4662d-fdeb-fd3c-830d-4e8686174c0d,3a592dd5-ceac-17bc-76fb-f055f97fdb08,e8ce94d7-9363-63c4-cd3b-646c42d6bb5f
bbd4662d-fdeb-fd3c-830d-4e8686174c0d,9455358c-1773-618a-ae32-fa4b5c1fae67,eb9fbbc6-aa50-07ef-dc39-f096416dcd22
91b2418e-24fa-0f8b-da5e-6c6b9e1b7183,5db50de0-f11d-a446-1656-f52bb3b2b833,97a8d1fd-0f1c-0f4d-ff20-f774d4ef3521
40bbe7f8-0155-25a6-22a1-3ba50c44c5a2,f5315b3c-bb4c-1828-9b81-2f2103cdb761,1378bbe7-b4fb-ba30-a935-14b0c0c06237
40bbe7f8-0155-25a6-22a1-3ba50c44c5a2,cc690771-77a2-7273-dcba-8874a56613c8,bfa5718a-5906-14a0-9f2f-7387281b44d9
40bbe7f8-0155-25a6-22a1-3ba50c44c5a2,2d0a5bf0-e53e-9a07-2243-9bcd561421ec,868512ea-815a-c104-ec2e-d1ddfd4b4215
40bbe7f8-0155-25a6-22a1-3ba50c44c5a2,7bbe743b-7e73-e6f0-cfec-ff756701f3a1,4733e789-e931-895f-7476-2eac759f85a3
c90eb8d3-27cf-6ddf-912d-0e85a86c9c2d,c61ec917-13b1-fa86-cf7d-88006a947914,75ed3a54-ab0e-c466-9a37-ae709b450e8b
c90eb8d3-27cf-6ddf-912d-0e85a86c9c2d,48f287b3-9a02-2d90-bac6-92070a73c6b2,447c2a06-6a7f-9d05-8a87-45197565a1cf
c90eb8d3-27cf-6ddf-912d-0e85a86c9c2d,48f287b3-9a02-2d90-bac6-92070a73c6b2,6d107231-625c-3e8c-b50b-8396024f5fea
c90eb8d3-27cf-6ddf-912d-0e85a86c9c2d,cb7c9b94-63e9-90a2-1e7e-b4fbf6699bd5,3f37c135-6925-f3d7-6c4d-c7edd41fbf66
c90eb8d3-27cf-6ddf-912d-0e85a86c9c2d,a6f37bb8-6154-f734-e44d-e96f1d8ce740,22b1cf8b-f36b-121f-5544-e5a3930881fc
a4e8a324-09f2-98e2-f8da-551560e3cd96,d5df3873-7871-c608-0284-c74d0b555ccd,5f572fe4-41aa-28a6-05fa-d7af4b8958eb
a626ccad-f7ee-e44f-6cda-f279ea055a8d,18019029-7c3e-8476-c4f3-9216298db9e1,0fb7f26b-0b2d-4e07-1b22-826041963f9e
a626ccad-f7ee-e44f-6cda-f279ea055a8d,602bb395-49b6-8aca-c8ea-6507975ead29,1e46d9c5-3d58-51fc-5168-50d1ae7273f9
8ab7b879-4915-1536-e5b3-aa9ea62fbbf1,f962483c-c153-246d-2650-56dd90fbdb11,55c3a884-55ff-e058-e594-c983df2018d8
8ab7b879-4915-1536-e5b3-aa9ea62fbbf1,e8f3094b-0536-a95b-43bb-8ee34a3a6f83,e8f3094b-0536-a95b-43bb-8ee34a3a6f83
8ab7b879-4915-1536-e5b3-aa9ea62fbbf1,c2b0e354-bbff-2656-bf09-fa7e8f85ca76,2ca0c4f3-785b-e599-9501-4ed6f6ff8edf
b09bead9-54e3-cd0f-2ab8-2cd4b7fdb159,34a9bb66-0984-8de0-e7fb-13e976b4a135,ef3567c1-097b-f0c3-9c43-d5e38c1bda0e
4835d0ba-5816-205f-31d6-ddb5ee0da0e1,799a9b81-1ded-37a7-7c78-b67a25246d39,22d90f8f-8b64-5a29-b423-fca823c3220a
fa3fa2f3-1c54-5c96-fc1b-4562dd7fe884,d5df3873-7871-c608-0284-c74d0b555ccd,8610c16f-40cb-8d6c-7328-9ba3937887e1
fa3fa2f3-1c54-5c96-fc1b-4562dd7fe884,3eb9d040-1487-8d0e-4db8-72ec93ce32a5,1cd30f17-1a25-687c-467e-6e5a50c22e14
fa3fa2f3-1c54-5c96-fc1b-4562dd7fe884,3eb9d040-1487-8d0e-4db8-72ec93ce32a5,a1c316ca-c4de-f68a-0956-0fdd1d2decb4
fa3fa2f3-1c54-5c96-fc1b-4562dd7fe884,276e5316-33ca-8ff5-ffa0-6f10a5bbe3bc,a1c316ca-c4de-f68a-0956-0fdd1d2decb4
53188c94-f936-cca0-0576-a09b643e0be6,ca770ff6-5fec-0c77-4785-8b0fa96832e1,c2bfaa69-3a01-1250-19ac-3fd14dbb91e1
7292462d-ce7d-cb2a-ae07-1e2c7a7fdcb7,63657c42-5649-87e7-2c95-28f65f6b3e43,542fba5f-1ef8-1235-7afd-ff9f927801fc
7292462d-ce7d-cb2a-ae07-1e2c7a7fdcb7,63657c42-5649-87e7-2c95-28f65f6b3e43,aa1bafc8-4671-075e-c093-f6bcd936d304
7292462d-ce7d-cb2a-ae07-1e2c7a7fdcb7,86742bac-1934-8ad1-2190-3a1cca668505,1b80c193-239e-9433-ddc5-a43b7fa76927
d6d2b387-77cd-16cc-7d81-485aa76befcf,8c2904bd-f9a1-0f41-87db-16fae614ad2d,3cdf7663-523c-057c-177b-6faa2e61d3ab
cf2808da-b1bc-79a4-9320-39eda0db303c,b51ff078-c9d9-9f51-681d-4f9ac888e070,7cc7ad39-d4a1-687c-90ba-4c9e321b1971
cf2808da-b1bc-79a4-9320-39eda0db303c,abe91173-e426-01ec-361c-651504d28f48,1ba287da-8d23-2480-bca9-63df8cf961fa
cf2808da-b1bc-79a4-9320-39eda0db303c,ce91bad7-b6d8-e56e-0f45-4763c6c5ca29,5cb78a75-bc9b-e319-3471-b72045e2121a
55ca06ac-f8ae-67ae-ada8-bc4829ca6315,aa978289-a0e0-8e2d-9db1-537203f28e62,33bbccd8-2d33-a21b-b7a1-d161dbd54248
714bb6b7-08d4-6977-efc4-9dbec3af59b1,41bc890f-d559-0423-2da8-9eb869e5b65c,b1e860af-5e04-eb49-bbc2-5d9cfc4df672
714bb6b7-08d4-6977-efc4-9dbec3af59b1,a32d3c4c-fbea-9fe9-8f49-9fd968657b9c,65c9a0d1-8947-78b3-23fd-037b1495ef0b
a87096ad-5b09-5a61-eb2a-33ee291e931d,d5df3873-7871-c608-0284-c74d0b555ccd,e7a4fc27-bcee-4905-8f5c-fb7f16007f9b
a87096ad-5b09-5a61-eb2a-33ee291e931d,6c4f13be-fa09-838e-925d-f2b923bb11c5,d93f6d9b-57d2-1f76-da4d-dd9936d5cc71
a87096ad-5b09-5a61-eb2a-33ee291e931d,60b5dade-24ed-84b0-99e2-1ecda554a1ab,e1bda14b-a9cd-999e-1088-c387a3d6ac9a
a87096ad-5b09-5a61-eb2a-33ee291e931d,00512295-30cd-2ec6-2ded-ea51b3aed16d,bced4064-062f-1e0a-9a16-d64fba2b272a
a87096ad-5b09-5a61-eb2a-33ee291e931d,c58e409b-fed6-66ff-3bda-de361e1373d1,5583bbb0-0cb5-c8b8-af09-220a44dbee9a
a87096ad-5b09-5a61-eb2a-33ee291e931d,5bac8053-1e17-adc6-05e2-d936c1fc8e5d,e213c109-7446-5bf4-0453-bfa581ed7bb0
a87096ad-5b09-5a61-eb2a-33ee291e931d,2c4bac68-23e5-0062-4ed3-7ca004a27c7d,1878e25a-c966-087f-8d66-95db57f921d9
d21097d9-a325-3a5f-588a-9d2c561f4d17,b4bbe64e-c694-c762-66cb-1d4141c68093,e8a8adfd-7f93-978e-2cc5-9913a4619dd0
25c2a253-dc94-b270-a2e6-b4ab362af931,e0135367-203e-658b-688c-5cbcb332a091,22886ce4-9e16-0eed-2fc4-104f6abaaa4d
25c2a253-dc94-b270-a2e6-b4ab362af931,c9f65fb9-f9a9-fff2-2c9b-ab9b70dd36da,60955301-1103-f21c-743e-c304d7a61b8b
6cbe794b-9ce3-b49e-a228-1e6cfcafa694,5e974e57-a4d1-0440-0634-0767216c0c30,84b448dd-9370-e996-2e93-fb0e7f6fcd59
6cbe794b-9ce3-b49e-a228-1e6cfcafa694,0c867fde-2b9a-df10-fdb9-66b74f355f91,77cec915-39fb-fa7e-9e34-cfa33df4d637
6cbe794b-9ce3-b49e-a228-1e6cfcafa694,fe2d1e8b-f607-3c9f-fad7-98fb8412f77e,7762488c-dcb2-70d7-d6c4-02004da0a297
3a9beb9e-270a-9752-54a8-bb8f38fb0cc0,fe2d1e8b-f607-3c9f-fad7-98fb8412f77e,b505f23c-50f6-1b9d-b3cf-a007f9c1d94b
3a9beb9e-270a-9752-54a8-bb8f38fb0cc0,b915e540-3377-6a2a-651e-6fd7c0787e26,7624d789-56e9-e3b2-0bb3-73f54fe0f328
3a1aea4d-0ca6-0aec-606d-aa8547091abf,6f2acf2a-5cbf-adb1-cbb4-5829ab0b08cd,5de05c0f-9b97-e4cf-6c25-89fdb71647df
